Sl. No.	Chen	Gierahn	Grun	Islam	Klein	Savas	Soumillon2	Tung	Soumillon1	Zigenhein	Soumillon3
51	ENSG00000260911	FGF21	Jun	Lin37	4933402J07Rik	ENSG00000255435	DIRC3	ENSG00000159618	KCNK17	ENSMUSG00000074092	ADAM10
52	ENSG00000205022	GDF10	Cav1	Nfyc	Lypd8	ENSG00000170325	FIGN	ENSG00000162877	GRIN3B	ENSMUSG00000072381	ANK2
53	ENSG00000171189	GPR1	Fkbp10	r_MER96B	Olfr16	ENSG00000237484	HRNR	ENSG00000186910	FBXO43	ENSMUSG00000079962	ASPN
54	ENSG00000155926	HTR1D	Xlr4a	Zic3	1700041C23Rik	ENSG00000117399	PCDHGC3	ENSG00000179698	LINC00838	ENSMUSG00000021913	TRERF1
55	ENSG00000169885	IL10RA	Tcfl5	Lrrk2	Gm15941	ENSG00000038945	ADAM3A	ENSG00000141096	FAM181A-AS1	ENSMUSG00000048677	ETV1
56	ENSG00000237986	IL18	Gm5662	Tnfrsf23	4933434I20Rik	ENSG00000185215	LINC00568	ENSG00000186891	MT1DP	ENSMUSG00000032719	HOXD-AS1
57	ENSG00000162576	MFAP4	Myc	Ypel2	Olfr954	ENSG00000131203	C1orf141	ENSG00000188611	C9orf72	ENSMUSG00000096887	NHS
58	ENSG00000117148	MSS51	F3	Runx2	Olfr619	ENSG00000137135	CEBPA	ENSG00000103023	FIGNL2	ENSMUSG00000022324	POU2F2
59	ENSG00000100362	MT-TL2	Lef1	Tcp11l1	Mir5128	ENSG00000184363	IGF2BP3	ENSG00000100373	ID1	ENSMUSG00000080944	PANK3
60	ENSG00000173908	NALCN	Bhmt	Aldh1a1	Sprr3	ENSG00000140749	B3GNT3	ENSG00000163646	B3GALT4	ENSMUSG00000084258	GDPGP1
61	ENSG00000267665	NPIPB11	Gja1	Lrig3	Lyl1	ENSG00000163694	LINC00264	ENSG00000171466	BBS2	ENSMUSG00000084902	BCOR
62	ENSG00000115085	PDE1C	Dbn1	Dusp10	Fcna	ENSG00000111275	MT3	ENSG00000189275	FAM156A	ENSMUSG00000041710	CEP78
63	ENSG00000256713	PTPRB	Ece1	Tmem180	Ces3b	ENSG00000084731	NETO1	ENSG00000167767	GAPT	ENSMUSG00000097703	LACC1
64	ENSG00000081803	RGPD3	Hck	Gab2	4930473A02Rik	ENSG00000136541	DHRS9	ENSG00000102466	GAS5-AS1	ENSMUSG00000053137	PTPRE
65	ENSG00000255160	RN7SKP133	Zscan4d	Jam3	Olfr685	ENSG00000254980	NLGN4Y-AS1	ENSG00000186115	MAP3K7CL	ENSMUSG00000032065	ZNF641
66	ENSG00000261693	RN7SKP180	Cebpb	Xpr1	1700008K24Rik	ENSG00000141540	GUCY1A2	ENSG00000096996	SH3GLB2	ENSMUSG00000083547	CEP97
67	ENSG00000273238	RNA5SP264	Xlr3a	Il10rb	Pnpla5	ENSG00000136982	BANK1	ENSG00000269563	B3GNT7	ENSMUSG00000065947	SACS
68	ENSG00000204385	RP1-12G14.7	Sox11	Lrrn1	Zdhhc19	ENSG00000134508	CFI	ENSG00000099984	FLJ16779	ENSMUSG00000065658	KCNMA1
69	ENSG00000234361	RP1-140A9.1	P4ha2	Thsd7a	Gm11149	ENSG00000111665	FICD	ENSG00000189134	POF1B	ENSMUSG00000021611	ZC2HC1C
70	ENSG00000174945	RP11-1017G21.4	Inhbb	Akt3	Krtap14	ENSG00000145416	LINC00894	ENSG00000113209	TXLNG2P	ENSMUSG00000085035	EHD4
71	ENSG00000272461	RP11-1026M7.2	Ankrd33b	Cog1	Hbb-bh1	ENSG00000129173	RGR	ENSG00000022556	KRT8	ENSMUSG00000029650	ZCCHC2
72	ENSG00000188761	RP11-104N10.1	Aard	Zic1	Nmur1	ENSG00000111206	PXK	ENSG00000125657	PPM1N	ENSMUSG00000060397	ZNF484
73	ENSG00000136206	RP11-1055B8.6	Tnni1	Nt5c2	Vmn1r236	ENSG00000121211	SUSD1	ENSG00000205364	HAS1	ENSMUSG00000048368	NR1D2
74	ENSG00000081800	RP11-135J2.4	Prrx1	Nox4	Fam71f2	ENSG00000170417	CYP4F43P	ENSG00000167644	LOC100507600	ENSMUSG00000074527	TIAM1
75	ENSG00000104361	RP11-174G6.5	Xlr4b	Fbf1	4930433I11Rik	ENSG00000154920	GRIN2C	ENSG00000012223	ZBTB14	ENSMUSG00000080841	ERMP1
76	ENSG00000148704	RP11-24J23.2	Sp5	Ralgapa2	Krtap10-10	ENSG00000075218	FGF13-AS1	ENSG00000196867	FMO2	ENSMUSG00000086682	LOC100996485
77	ENSG00000163762	RP11-258F1.1	S100a13	Trim47	Gm17677	ENSG00000072571	BAGE4	ENSG00000116218	LRRC34	ENSMUSG00000083373	LRBA
78	ENSG00000204055	RP11-267M23.4	Akr1b8	Gata6	Gm15179	ENSG00000216490	C7orf31	ENSG00000127325	TCL1A	ENSMUSG00000049091	FAP
79	ENSG00000249500	RP11-286E11.2	Enox1	Ttc7b	Olfr176	ENSG00000105173	COL4A2-AS1	ENSG00000140795	TNFSF13B	ENSMUSG00000068674	CSNK2A2
80	ENSG00000171243	RP11-316M1.12	Hist2h4	Colec12	Mir496b	ENSG00000270066	LOC440895	ENSG00000130943	GABBR2	ENSMUSG00000071862	EPSTI1
81	ENSG00000137747	RP11-322F10.2	Gstm3	Entpd7	Gm8633	ENSG00000273155	SYT7	ENSG00000109758	C2orf88	ENSMUSG00000032607	MEF2C
82	ENSG00000258952	RP11-325N19.3	Nrp1	Samd10	Olfr724	ENSG00000272902	KLK1	ENSG00000196355	SCARA3	ENSMUSG00000087179	LOC389033
83	ENSG00000176840	RP11-336A10.2	Bdh2	ORF63	Gm11570	ENSG00000077935	FBXO43	ENSG00000240720	CRHR2	ENSMUSG00000080054	BEND6
84	ENSG00000205086	RP11-425D10.10	Aurkc	Lamb2	Nr0b2	ENSG00000115414	LINC00838	ENSG00000179542	TOP2A	ENSMUSG00000083582	BMP2K
85	ENSG00000183114	RP11-433M22.2	Atf3	Stx1a	Fam20a	ENSG00000090889	VMO1	ENSG00000183571	LINC00617	ENSMUSG00000035673	DOCK10
86	ENSG00000248468	RP11-445P19.3	Perp	Entpd5	3010033K07Rik	ENSG00000119139	TRIM74	ENSG00000027644	SAA2-SAA4	ENSMUSG00000081281	CITED1
87	ENSG00000122641	RP11-45P15.4	Crabp1	Cchcr1	A230056P14Rik	ENSG00000166833	C3orf80	ENSG00000122224	SMOC2	ENSMUSG00000086730	GPR143
88	ENSG00000178934	RP11-462L8.1	Ecm1	Dcun1d3	Cxcr3	ENSG00000162174	KCNT2	ENSG00000177291	PLXNB1	ENSMUSG00000056753	PCDHB7
89	ENSG00000269890	RP11-477N3.1	Gm2016	Mxd4	Dhh	ENSG00000166851	LNPEP	ENSG00000148584	SEL1L3	ENSMUSG00000060427	EXOC6B
90	ENSG00000162882	RP11-513M16.8	Prrx2	Eya4	LOC100043315	ENSG00000101447	CHRNA3	ENSG00000173338	SLITRK4	ENSMUSG00000087938	C17orf80
91	ENSG00000172478	RP11-571M6.17	Xlr4c	Daglb	Olfr116	ENSG00000118193	PLA2G2A	ENSG00000115604	BPESC1	ENSMUSG00000029830	HENMT1
92	ENSG00000152969	RP11-661A12.14	Col18a1	Sardh	Mbd3l1	ENSG00000204936	HOXA-AS4	ENSG00000163092	CHIAP2	ENSMUSG00000023259	HIST1H4J
93	ENSG00000164304	RP11-686G8.2	Gm2022	Acot10	Olfr723	ENSG00000150337	JMJD7	ENSG00000167046	ADPGK-AS1	ENSMUSG00000081620	KIAA1524
94	ENSG00000106511	RP11-707G14.7	Zfp423	Cbara1	Tas2r122	ENSG00000196312	RYR3	ENSG00000188107	NPSR1-AS1	ENSMUSG00000083657	HECTD2
95	ENSG00000185040	RP11-80G7.1	Rarg	Bok	Vmn1r82	ENSG00000136449	SLIT2	ENSG00000198750	RFC5	ENSMUSG00000090216	CDH13
96	ENSG00000232301	RP11-95P2.3	Cdh2	8430431K14Rik	Olfr12	ENSG00000102384	NCOA2	ENSG00000169495	CD33	ENSMUSG00000038422	UGCG
97	ENSG00000151948	RP11-96K19.5	Pea15a	Pdgfrl	Hsd11b1	ENSG00000255479	ADCYAP1R1	ENSG00000136305	CEP152	ENSMUSG00000081340	TMEM176A
98	ENSG00000176294	RP5-1165K10.2	Igfbp3	Rspo2	Tbx10	ENSG00000211794	CTSLP2	ENSG00000185985	SLITRK2	ENSMUSG00000073805	DUSP16
99	ENSG00000261175	SARDH	Soga3	Tshz2	Mir8095	ENSG00000089685	RNA45S5	ENSG00000131126	NPHP3-AS1	ENSMUSG00000078932	ZSCAN32
100	ENSG00000189051	SATL1	2410137F16Rik	Zfp579	Gm2176	ENSG00000180758	CXADRP3	ENSG00000122176	HIVEP2	ENSMUSG00000026575	C10orf12
101	ENSG00000273212	SLC25A18	Grb10	Mark1	Olfr1419	ENSG00000127423	FLJ45974	ENSG00000205090	IL17RC	ENSMUSG00000027896	KLF4
102	ENSG00000212900	SLPI	1700013H16Rik	Ppapdc2	Tas2r135	ENSG00000183023	FLJ46284	ENSG00000203740	MCOLN3	ENSMUSG00000004187	NPHP1
103	ENSG00000235314	SMCR5	Fosb	Ccl27a	Gm13124	ENSG00000181631	FPR2	ENSG00000116194	RAD51B	ENSMUSG00000029410	VPRBP
104	ENSG00000223850	SNORA2B	Parva	Mfhas1	Pcdhgb7	ENSG00000260641	IL13RA2	ENSG00000081237	PAX5	ENSMUSG00000091273	NAV2-AS5
105	ENSG00000050730	SNORD11B	Rab31	Ostm1	D7Ertd443e	ENSG00000135549	LINC00028	ENSG00000148671	KIAA1967	ENSMUSG00000055720	LIPE
106	ENSG00000137841	SNORD83A	Lmo4	Prkd1	C030007H22Rik	ENSG00000111328	LOC100131138	ENSG00000197177	LEAP2	ENSMUSG00000026715	OGN
107	ENSG00000278668	SUCLA2-AS1	Tuba3b	Arhgef9	Gpr50	ENSG00000125144	LOC340508	ENSG00000255374	PANK3	ENSMUSG00000074825	APCDD1L
108	ENSG00000053747	TBX21	App	Foxp2	Olfr532	ENSG00000171241	LOC728040	ENSG00000110887	AK5	ENSMUSG00000029601	STT3B
109	ENSG00000100249	TMEM200B	Loxl1	Lpar4	Prr32	ENSG00000166578	PRAMEF18	ENSG00000108381	LOC441009	ENSMUSG00000025262	CIT
110	ENSG00000173110	TMEM221	Snx20	Ascc2	Art2b	ENSG00000149294	PSG9	ENSG00000226763	RAD54L2	ENSMUSG00000022756	FAM225B
111	ENSG00000237737	TMIGD2	2200002D01Rik	Gtpbp2	Cyp4a32	ENSG00000149418	SUV420H2	ENSG00000189233	SAA1	ENSMUSG00000075273	TTK
112	ENSG00000272498	TNRC6C-AS1	Sh3kbp1	Cdc42ep2	4933405L10Rik	ENSG00000116729	UCN	ENSG00000189401	LPAR4	ENSMUSG00000094942	PTPN21
113	ENSG00000225548	TRNAI6	Cdkn1c	Alkbh4	Fgf3	ENSG00000255833	ZIC5	ENSG00000173198	LINC00331	ENSMUSG00000085234	THRSP
114	ENSG00000007062	TUBA3C	Lhfpl2	r_Charlie7	Tas2r123	ENSG00000277224	LOC100507389	ENSG00000181029	CDH3	ENSMUSG00000093803	CFD
115	ENSG00000249669	USP9Y	Mal	Hoxa11	4933417D19Rik	ENSG00000184661	SLC2A1-AS1	ENSG00000135549	RARG	ENSMUSG00000097662	RFX7
116	ENSG00000254003	XXbac-B444P24.14	Flnc	Slc25a37	1700011A15Rik	ENSG00000165891	ARHGEF28	ENSG00000182070	RTEL1	ENSMUSG00000034652	FABP4
117	ENSG00000226367	RP11-1112C15.1	Tpm2	Chml	Olfr652	ENSG00000177469	DNAJC12	ENSG00000184486	WDR4	ENSMUSG00000098202	MXRA5
118	ENSG00000230843	TAS2R14	Fetub	Hrct1	Prr15l	ENSG00000197405	MAGI1-AS1	ENSG00000170373	KIAA0825	ENSMUSG00000085583	HSD17B8
119	ENSG00000184113	TBX6	Leprel4	Miip	1810007D17Rik	ENSG00000125538	NCKAP5	ENSG00000189182	RPS16P5	ENSMUSG00000061330	JOSD2
120	ENSG00000188293	ARHGEF26-AS1	Tuba3a	Zfc3h1	Olfr350	ENSG00000115163	STXBP5L	ENSG00000161281	BAIAP2	ENSMUSG00000086228	GBP1P1
121	ENSG00000145423	SYT2	Timm8a2	Smcr8	Spi1	ENSG00000101439	TACSTD2	ENSG00000170561	HMGA1	ENSMUSG00000081230	KRT12
122	ENSG00000139278	ISM2	Rgma	A430105I19Rik	Olfr802	ENSG00000156463	BTNL9	ENSG00000076924	STAMBPL1	ENSMUSG00000069083	THAP9
123	ENSG00000141293	LINC00893	Ier3	Pigm	Spaca7	ENSG00000157456	GAPT	ENSG00000213931	ERCC6	ENSMUSG00000041716	ZNF518B
124	ENSG00000120949	OSMR	Slc16a9	Rnf208	1700011E24Rik	ENSG00000105967	GPR26	ENSG00000162825	A2M	ENSMUSG00000044937	PHF8
125	ENSG00000224884	RP11-488P3.1	Gm8300	Meis1	Gm5592	ENSG00000165025	LINC00308	ENSG00000116690	NEUROD1	ENSMUSG00000098185	MSH2
126	ENSG00000244502	TMEM92	Lrrfip1	Mrs2	Ccdc172	ENSG00000175489	LOC285692	ENSG00000009790	SLC7A2	ENSMUSG00000033837	ACTG2
127	ENSG00000249509	ZRANB2-AS2	Trpm1	Hoxb4	Lcn12	ENSG00000165480	NEUROD2	ENSG00000173124	FARP2	ENSMUSG00000083534	AQP7
128	ENSG00000230733	IKBKE	Ctgf	Dnajb14	Mir6934	ENSG00000164087	LINC00536	ENSG00000184224	BTNL9	ENSMUSG00000029919	KIAA0753
129	ENSG00000224122	ABCB6	Steap1	Bend6	Lyg2	ENSG00000234636	FANCB	ENSG00000135426	PTPN21	ENSMUSG00000046856	ZBED6
130	ENSG00000272155	AC005624.2	Id3	Itfg3	Adipoq	ENSG00000186193	VPRBP	ENSG00000159182	LOC100506172	ENSMUSG00000031465	LINC00320
131	ENSG00000236426	AC005785.2	Bdnf	Morc4	Mia2	ENSG00000130653	CCDC108	ENSG00000003137	PPP1R14A	ENSMUSG00000041378	METTL14
132	ENSG00000166111	AC022201.5	Abcg1	Prkcd	1700084F23Rik	ENSG00000121316	GLYCTK	ENSG00000144063	RECQL5	ENSMUSG00000096780	CEP152
133	ENSG00000227911	AC034243.1	Clca4	Bhlhb9	Olfr593	ENSG00000168078	LOC100505782	ENSG00000206260	CELF5	ENSMUSG00000096323	DIAPH3
134	ENSG00000276702	AC093818.1	Anxa5	Mmp16	Mir143hg	ENSG00000002933	FAM196B	ENSG00000146374	AREG	ENSMUSG00000027827	STMN2
135	ENSG00000085465	AC117395.1	Pkd2l1	Gbe1	Prss54	ENSG00000134057	FAS-AS1	ENSG00000135604	ICAM1	ENSMUSG00000063885	SLC4A7
136	ENSG00000251283	AL590822.2	Igsf21	Txndc16	Mrgpra3	ENSG00000081181	PCDHGA12	ENSG00000244693	LINC00965	ENSMUSG00000066478	BUB1
137	ENSG00000169271	ANKRD31	Dpysl3	Nfia	4930456L15Rik	ENSG00000250722	SSTR1	ENSG00000164920	TMPRSS4-AS1	ENSMUSG00000098294	EMBP1
138	ENSG00000172179	ATP2B3	Gadd45a	G6pc3	Krtap11-1	ENSG00000126787	FMO5	ENSG00000132498	CLRN1	ENSMUSG00000079685	IPO11-LRRC70
139	ENSG00000181577	C12orf55	BB287469	Ttc9	1700030F18Rik	ENSG00000137807	MT1HL1	ENSG00000136944	L3MBTL3	ENSMUSG00000022306	PLCB1
140	ENSG00000197859	C6orf201	4930444M15Rik	Qtrt1	2010003K11Rik	ENSG00000130208	MXRA5	ENSG00000147168	TMEM5	ENSMUSG00000018543	COMP
141	ENSG00000280639	CTA-363E6.7	Gm5039	Rnf214	Olfr923	ENSG00000267198	PCDHGA10	ENSG00000152766	LINC00967	ENSMUSG00000043618	LOC100630918
142	ENSG00000281005	CTB-179K24.3	Fam53b	Ccdc32	4930529L06Rik	ENSG00000183048	ANK2	ENSG00000100721	PRSS23	ENSMUSG00000088246	G0S2
143	ENSG00000269549	CTD-2540F13.2	Gap43	Nek6	Bdkrb1	ENSG00000214212	ADAMTS10	ENSG00000260001	FCGR2C	ENSMUSG00000065715	PLIN4
144	ENSG00000196132	CTD-2589M5.4	Plcd1	Il1rn	Tmem247	ENSG00000175063	NEIL1	ENSG00000100314	C10orf137	ENSMUSG00000093465	DIP2B
145	ENSG00000109684	DNM1P35	Lgals1	Hoxc5	Fut2	ENSG00000142675	TERC	ENSG00000164330	FLJ16341	ENSMUSG00000024205	GUCY1A2
146	ENSG00000152822	DUOX1	Frmd4b	Htr2a	Trim12a	ENSG00000106565	ADD2	ENSG00000169715	PATE4	ENSMUSG00000097747	RALGPS2
147	ENSG00000198844	FBN3	Mael	Wdr45	Gm10510	ENSG00000221947	FEM1B	ENSG00000166670	CNKSR3	ENSMUSG00000074220	ADIRF
148	ENSG00000175793	GCNT4	Tppp3	Brd9	1700019B03Rik	ENSG00000171631	CLDN15	ENSG00000176563	SIN3A	ENSMUSG00000086103	ATP11C
149	ENSG00000227082	HCG16	Etv4	Irx5	Lim2	ENSG00000172602	GALNT5	ENSG00000262484	MORC2-AS1	ENSMUSG00000021962	B4GALT6
150	ENSG00000232679	HLA-AS1	Fkbp6	Ttc8	Mcpt8	ENSG00000185482	CCDC41-AS1	ENSG00000143869	ABCB7	ENSMUSG00000025429	MNS1
151	ENSG00000238243	HOXC12	Pcsk1n	Slc9a5	1700054A03Rik	ENSG00000211820	ABI3BP	ENSG00000134201	DNLZ	ENSMUSG00000096557	DCBLD1
152	ENSG00000230448	INSL3	Dusp9	Agfg1	Dreh	ENSG00000260448	OASL	ENSG00000174226	NR1H4	ENSMUSG00000078817	RARG
153	ENSG00000058866	IRF6	Zyx	Ptpre	Olfr884	ENSG00000168461	RAB37	ENSG00000206532	DOCK10	ENSMUSG00000070576	C11orf52
154	ENSG00000271538	LAMC2	Wfdc2	Ilvbl	Prss51	ENSG00000178999	KLRC3	ENSG00000143001	ARMCX4	ENSMUSG00000081541	ERBB4
155	ENSG00000174358	LINC00472	Anxa2	Pde8b	Rnase1	ENSG00000163563	INCENP	ENSG00000069431	HECTD2	ENSMUSG00000018341	MYO1B
156	ENSG00000205838	LINC00941	Dab1	Slitrk5	Slc6a3	ENSG00000152804	PPP4R1L	ENSG00000167741	MDM1	ENSMUSG00000006134	RFC3
157	ENSG00000113525	LY6G6D	Dab2	Sesn1	Mrap2	ENSG00000134690	SNX17	ENSG00000107954	ACPP	ENSMUSG00000038729	TOMM40L
158	ENSG00000182578	MATN1	Lrp2	Col5a3	Olfr521	ENSG00000165304	ZBTB9	ENSG00000169717	SENP7	ENSMUSG00000096764	ADSS
159	ENSG00000245812	MIS18A-AS1	Tmsb4x	r_MER46C	1700019N19Rik	ENSG00000248323	ZNF23	ENSG00000203804	SVEP1	ENSMUSG00000080875	KIF9
160	ENSG00000278272	MYCN	Ptgs1	Mapre3	4930549G23Rik	ENSG00000122786	LIPE	ENSG00000174175	LINC00276	ENSMUSG00000097282	TAPT1
